월,사용 날짜 (일자),총 일수
1월,"1, 4, 5, 7, 8, 11, 12, 14, 15, 18, 19, 21, 22, 25, 26, 28, 29",17일
2월,"1, 2, 4, 5, 8, 9, 11, 12, 18, 19, 22, 23, 25, 26 (설연휴 기간 제외)",14일
3월,"4, 5, 8, 9, 11, 12, 15, 16, 18, 19, 22, 23, 25, 26, 29, 30 (1~2일 미개방)",16일
4월,"1, 2, 5, 6, 8, 9, 12, 13, 15, 16, 19, 20, 22, 23, 26, 27, 29, 30",18일
5월,"3, 4, 6, 7, 10, 11, 13, 14, 17, 18, 20, 21, 24, 25, 27, 28, 31",17일
6월,"1, 3, 4, 7, 8, 10, 11, 14, 15, 17, 18, 21, 22, 24, 25, 28, 29",17일
7월,"1, 2, 5, 6, 8, 9, 12, 13, 15, 16, 19, 20, 22, 23, 26, 27, 29, 30",18일
8월,"2, 3, 5, 6, 9, 10, 12, 13, 16, 17, 19, 20, 23, 24, 26, 27, 30, 31",18일
9월,"2, 3, 6, 7, 9, 10, 13, 14, 16, 17, 20, 21, 23, 27, 28, 30 (추석연휴 제외)",16일
10월,"1, 4, 5, 7, 8, 11, 12, 14, 15, 18, 19, 21, 22, 25, 26, 28, 29",17일
11월,"1, 2, 4, 5, 8, 9, 11, 12, 15, 16, 18, 19, 22, 23, 25, 26, 29, 30",18일
12월,"2, 3, 6, 7, 9, 10, 13, 14, 16, 17, 20, 21, 23, 24, 27, 28, 31 (30일 미개방)",17일
